frontal lobe,4009,#FF5D62
parietal lobe,4084,#E9BF59
temporal lobe,4132,#FF9200
occipital lobe,4180,#E87651
insula,4268,#FFF162
cingulate,4220,#7E5B33
hippocampus,4249,#FEBA65
parahippocampus,4242,#B48D3F
piriform cortex,10142,#FF510D
anterior olfactory nucleus,4324,#FF510D
amygdala,4327,#00B4AA
basal ganglia,4276,#4BE7B8
basal forebrain,4300,#5A7DFE
mammillary region,4665,#FE61DE
anterior hypothalamic region,4570,#895AFE
hypothamalus_tuberal,4633,#00ACEA
preoptic region,4541,#003BEB
subthalamus,4517,#00E879
thalamus,4392,#00D132
cerebellum,4696,#A9EBED
pons,9131,#8ED6C4
midbrain tectum,9101,#64A494
midbrain tegmentum,9002,#6C93A3
pretectal region,9079,#9EC1EE
claustrum,4321,#6570A4
habenular nuclei,4521,#9B92EF
pineal gland,4532,#775DA5
paraventricular nuclei of thalamus,4533,#CA86F0
myelencephalon,9512,#9F54A6
white matter,9218,#827E79